Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
MANHATTAN HOUSE,151 Chin Swee Road  #01-31 ,14,Strata,338000,24143,2243,18-JUL-2014,Retail,99 Yrs From 15/10/1969,Resale,03,16,169876,Central Region,Outram
CONCORDE SHOPPING CENTRE,317 Outram Road  #02-30 ,19,Strata,336600,17716,1646,22-JUL-2014,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
ALEXANDRA CENTRAL,321 Alexandra Road  #02-32 ,15,Strata,960000,64000,5946,25-JUL-2014,Retail,99 Yrs From 05/03/2012,New Sale,03,15,159971,Central Region,Bukit Merah
CONCORDE SHOPPING CENTRE,317 Outram Road  #01-16 ,25,Strata,480000,19200,1784,17-NOV-2014,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
CONCORDE SHOPPING CENTRE,317 Outram Road  #B1-23 ,32,Strata,500000,15625,1452,18-NOV-2014,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
QUEENSWAY SHOPPING CENTRE,1 Queensway  #02-37F ,15,Strata,680000,45333,4212,22-JAN-2015,Retail,Freehold,Resale,03,14,149053,Central Region,Queenstown
CONCORDE SHOPPING CENTRE,317 Outram Road  #01-26 ,33,Strata,550250,16674,1549,23-APR-2015,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
QUEENSWAY SHOPPING CENTRE,1 Queensway  #03-01J ,16,Strata,639800,39988,3715,12-JUN-2015,Retail,Freehold,Resale,03,14,149053,Central Region,Queenstown
ALEXANDRA CENTRAL,321 Alexandra Road  #03-26 ,15,Strata,888000,59200,5500,15-JUN-2015,Retail,99 Yrs From 05/03/2012,Sub Sale,03,15,159971,Central Region,Bukit Merah
N.A.,743/743A/745/745A Havelock Road ,322,Land,12113500,37678,3500,29-JUN-2015,Shop House,Freehold,Resale,03,16,169657,Central Region,Bukit Merah
QUEENSWAY SHOPPING CENTRE,1 Queensway  #02-42 ,14,Strata,870000,62143,5773,05-AUG-2015,Retail,Freehold,Resale,03,14,149053,Central Region,Queenstown
