Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
LITTLE INDIA CONSERVATION AREA,56 Upper Weld Road ,190,Land,4820000,25315,2352,26-JUL-2019,Shop House,Freehold,Resale,08,20,207411,Central Region,Rochor
N.A.,72 Desker Road ,100,Land,2880000,28945,2689,02-AUG-2019,Shop House,Freehold,Resale,08,20,209595,Central Region,Rochor
N.A.,74 Desker Road ,93,Land,2680000,28973,2692,02-AUG-2019,Shop House,Freehold,Resale,08,20,209597,Central Region,Rochor
LITTLE INDIA CONSERVATION AREA,2A Veerasamy Road ,181,Land,5000000,27594,2564,15-AUG-2019,Shop House,Freehold,Resale,08,20,207306,Central Region,Rochor
LITTLE INDIA CONSERVATION AREA,29 Norris Road ,131,Land,3100000,23664,2198,26-AUG-2019,Shop House,Freehold,Resale,08,20,208271,Central Region,Rochor
N.A.,216-1 Syed Alwi Road ,120,Land,4000000,33278,3092,11-SEP-2019,Shop House,999 Yrs From 17/03/1919,Resale,08,20,207750,Central Region,Kallang
N.A.,437 Race Course Road ,143,Land,3680000,25716,2389,13-SEP-2019,Shop House,Freehold,Resale,08,21,218683,Central Region,Rochor
LITTLE INDIA CONSERVATION AREA,27 Upper Dickson Road ,72,Land,2800000,38889,3613,02-OCT-2019,Shop House,Freehold,Resale,08,20,207486,Central Region,Rochor
TYRWHITT 139,139 Tyrwhitt Road  #01-01 ,31,Strata,1200000,38710,3596,03-OCT-2019,Retail,Freehold,Resale,08,20,207557,Central Region,Kallang
1953,1 Tessensohn Road  #01-13 ,47,Strata,1532520,32607,3029,15-OCT-2019,Retail,Freehold,New Sale,08,21,217701,Central Region,Kallang
N.A.,12 Dickson Road ,132,Land,3000000,22796,2118,01-NOV-2019,Shop House,99 Yrs From 01/01/1930,Resale,08,20,209499,Central Region,Rochor
