Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
N.A.,57 Temple Street ,98,Land,8900000,90539,8411,31-MAY-2019,Shop House,Freehold,Resale,01,05,058602,Central Region,Outram
N.A.,19 Hongkong Street ,173,Land,15000000,86906,8074,03-JUN-2019,Shop House,99 Yrs From 15/10/2015,Resale,01,05,059662,Central Region,Singapore River
BOAT QUAY CONSERVATION AREA,51 South Bridge Road ,130,Land,7200000,55598,5165,04-JUN-2019,Shop House,999 Yrs From 10/08/1831,Resale,01,05,058683,Central Region,Singapore River
OXLEY TOWER,138 Robinson Road  #01-03 ,75,Strata,4035000,53800,4998,24-JUN-2019,Retail,Freehold,Resale,01,06,068906,Central Region,Downtown Core
N.A.,43 Ann Siang Road ,107,Land,8000000,75047,6972,27-JUN-2019,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069718,Central Region,Outram
KRETA AYER CONSERVATION AREA,76 Pagoda Street ,128,Land,13300000,104314,9691,30-JUL-2019,Shop House,99 Yrs From 26/08/1995,Resale,01,05,059235,Central Region,Outram
BOAT QUAY CONSERVATION AREA,51 South Bridge Road ,130,Land,8700000,67181,6241,16-AUG-2019,Shop House,999 Yrs From 10/08/1831,Resale,01,05,058683,Central Region,Singapore River
BOAT QUAY CONSERVATION AREA,39/45 Boat Quay ,303,Land,32200000,106236,9870,23-AUG-2019,Shop House,999 Yrs From 20/04/1826,Resale,01,04,049834,Central Region,Singapore River
N.A.,43 Ann Siang Road ,107,Land,7700000,72233,6711,03-SEP-2019,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069718,Central Region,Outram
PEOPLE'S PARK COMPLEX,1 Park Road  #03-20 ,29,Strata,1200000,41379,3844,13-SEP-2019,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
TELOK AYER CONSERVATION AREA,198 Telok Ayer Street ,154,Land,14880000,96812,8994,23-SEP-2019,Shop House,999 Yrs From 15/09/1829,Resale,01,06,068637,Central Region,Outram
KRETA AYER CONSERVATION AREA,31 Pagoda Street ,122,Land,16250000,133525,12405,25-OCT-2019,Shop House,Freehold,Resale,01,05,059190,Central Region,Outram
N.A.,12 Smith Street ,100,Land,7000000,70000,6503,25-OCT-2019,Shop House,999 Yrs From 03/05/1875,Resale,01,05,058926,Central Region,Outram
N.A.,35 Hongkong Street ,155,Land,7100000,45777,4253,19-NOV-2019,Shop House,99 Yrs From 01/01/1951,Resale,01,05,059674,Central Region,Singapore River
HAVELOCK2,2 Havelock Road  #02-22 ,62,Strata,1618200,26100,2425,20-NOV-2019,Retail,99 Yrs From 04/05/1983,Resale,01,05,059763,Central Region,Singapore River
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street  #01-06 ,34,Strata,1200000,35294,3279,27-NOV-2019,Retail,99 Yrs From 19/10/1979,Resale,01,05,059804,Central Region,Outram
N.A.,265/267/269/271 South Bridge Road ,582,Land,54000000,92815,8623,03-DEC-2019,Shop House,999 Yrs From 01/10/1827,Resale,01,05,058820,Central Region,Outram
PEOPLE'S PARK COMPLEX,1 Park Road  #01-13 ,36,Strata,2000000,55556,5161,13-DEC-2019,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
N.A.,42/44/46 Smith Street ,259,Land,19500000,75406,7005,26-MAY-2017,Shop House,200 Yrs From 27/05/1872,Resale,01,05,058954,Central Region,Outram
KRETA AYER CONSERVATION AREA,39 Pagoda Street ,115,Land,12200000,106457,9890,30-MAY-2017,Shop House,Freehold,Resale,01,05,059198,Central Region,Outram
TELOK AYER CONSERVATION AREA,11 Ann Siang Road ,109,Land,9100000,83486,7756,05-JUN-2017,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069691,Central Region,Outram
THE ARCADE,11 Collyer Quay  #03-11 ,21,Strata,950000,45238,4203,14-JUN-2017,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
OXLEY TOWER,138 Robinson Road  #02-19 ,13,Strata,835000,64231,5967,16-JUN-2017,Retail,Freehold,Sub Sale,01,06,068906,Central Region,Downtown Core
N.A.,89 Amoy Street ,265,Land,21000000,79215,7359,30-JUN-2017,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069908,Central Region,Outram
THE RIVERSIDE PIAZZA,11 Keng Cheow Street  #01-07 ,61,Strata,1149750,18848,1751,05-JUL-2017,Retail,99 Yrs From 02/10/1992,Resale,01,05,059608,Central Region,Singapore River
TELOK AYER CONSERVATION AREA,52 Amoy Street ,88,Land,7100000,80317,7462,07-JUL-2017,Shop House,999 Yrs From 21/06/1833,Resale,01,06,069878,Central Region,Outram
KRETA AYER CONSERVATION AREA,50 Temple Street ,121,Land,8200000,67825,6301,24-JUL-2017,Shop House,Freehold,Resale,01,05,058595,Central Region,Outram
TELOK AYER CONSERVATION AREA,17 Stanley Street ,150,Land,12650000,84446,7845,25-JUL-2017,Shop House,Freehold,Resale,01,06,068736,Central Region,Outram
TELOK AYER CONSERVATION AREA,182 Telok Ayer Street ,133,Land,11800000,88855,8255,22-SEP-2017,Shop House,999 Yrs From 15/09/1829,Resale,01,06,068630,Central Region,Downtown Core
TELOK AYER CONSERVATION AREA,23 Ann Siang Road ,124,Land,10380000,83913,7796,26-SEP-2017,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069703,Central Region,Outram
N.A.,26 Ann Siang Road ,162,Land,14700000,90573,8414,28-SEP-2017,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069706,Central Region,Outram
HAVELOCK2,2 Havelock Road  #01-34 ,24,Strata,1078500,44938,4175,06-OCT-2017,Retail,99 Yrs From 04/05/1983,Resale,01,05,059763,Central Region,Singapore River
MALACCA CENTRE,20 Malacca Street  #03-00 ,170,Strata,4750000,27941,2596,23-OCT-2017,Retail,999 Yrs From 20/04/1826,Resale,01,04,048979,Central Region,Downtown Core
N.A.,35 Mosque Street ,112,Land,8300000,74306,6903,20-NOV-2017,Shop House,Freehold,Resale,01,05,059513,Central Region,Outram
KRETA AYER CONSERVATION AREA,56 Pagoda Street ,280,Land,23000000,82231,7639,08-DEC-2017,Shop House,99 Yrs From 30/10/1995,Resale,01,05,059215,Central Region,Outram
TELOK AYER CONSERVATION AREA,277/277A/277B/279 South Bridge Road ,265,Land,19000000,71834,6674,02-JAN-2018,Shop House,99 Yrs From 27/11/1992,Resale,01,05,058826,Central Region,Outram
TELOK AYER CONSERVATION AREA,64 South Bridge Road ,139,Land,8280000,59440,5522,23-JAN-2018,Shop House,99 Yrs From 01/10/1951,Resale,01,05,058694,Central Region,Singapore River
N.A.,24 Mosque Street ,125,Land,8100000,64852,6025,24-JAN-2018,Shop House,Freehold,Resale,01,05,059504,Central Region,Outram
THE ARCADE,11 Collyer Quay  #02-30 ,6,Strata,800000,133333,12387,24-JAN-2018,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
TELOK AYER CONSERVATION AREA,75 Amoy Street ,208,Land,18000999,86627,8048,05-FEB-2018,Shop House,999 Yrs From 01/10/1827,Resale,01,06,069894,Central Region,Outram
FOOK HAI BUILDING,150 South Bridge Road  #02-21 ,31,Strata,590000,19032,1768,06-FEB-2018,Retail,99 Yrs From 18/01/1972,Resale,01,05,058727,Central Region,Outram
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #B1-17C ,35,Strata,850000,24286,2256,13-FEB-2018,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
N.A.,21 Mosque Street ,160,Land,11700000,73354,6815,13-FEB-2018,Shop House,Freehold,Resale,01,05,059501,Central Region,Outram
N.A.,17/45/46/61/77 Circular Road/Boat Quay ,558,Land,45500000,81600,7581,27-FEB-2018,Shop House,999 Yrs From 28/06/1826,Resale,01,04,049401,Central Region,Singapore River
N.A.,273/275 South Bridge Road ,287,Land,26500000,92334,8578,28-FEB-2018,Shop House,999 Yrs From 01/10/1827,Resale,01,05,058822,Central Region,Outram
PORCELAIN HOTEL,48/49/50 Mosque Street ,561,Land,64800000,115611,10741,01-MAR-2018,Shop House,99 Yrs From 28/08/2002,Resale,01,05,059526,Central Region,Outram
KRETA AYER CONSERVATION AREA,61/61B Temple Street ,97,Land,928000,9538,886,07-MAR-2018,Shop House,Freehold,Resale,01,05,058606,Central Region,Outram
