Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
BEAUTY WORLD PLAZA,140 Upper Bukit Timah Road  #01-11 ,28,Strata,850000,30357,2820,01-FEB-2013,Retail,999 Yrs From 07/06/1884,Resale,21,58,588176,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #B1-17 ,44,Strata,1025100,23298,2164,14-FEB-2013,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BINJAI PARK,5 Binjai Park ,118,Strata,2900000,24576,2283,15-MAR-2013,Shop House,999 Yrs From 01/06/1875,Resale,21,58,589820,Central Region,Bukit Timah
BINJAI PARK,11 Binjai Park ,124,Strata,3108000,25065,2329,22-MAR-2013,Shop House,999 Yrs From 01/06/1875,Resale,21,58,589823,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #01-38 ,18,Strata,750000,41667,3871,09-APR-2013,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #03-12 ,112,Strata,2200000,19643,1825,11-APR-2013,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #B1-33 ,27,Strata,850000,31481,2925,06-MAY-2013,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #01-07 ,28,Strata,1090000,38929,3617,10-MAY-2013,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-20 ,5,Strata,300000,60000,5574,22-MAY-2013,Retail,Freehold,Sub Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-24 ,9,Strata,510000,56667,5264,22-MAY-2013,Retail,Freehold,Sub Sale,21,59,596180,Central Region,Bukit Timah
N.A.,6/6A Cheong Chin Nam Road ,197,Land,8080000,41015,3810,27-MAY-2013,Shop House,Freehold,Resale,21,59,599731,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #B1-K13 ,9,Strata,350000,38889,3613,27-MAY-2013,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #B1-K12 ,9,Strata,350000,38889,3613,27-MAY-2013,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-27 ,68,Strata,3480000,51176,4754,28-MAY-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #01-27 ,28,Strata,1050000,37500,3484,30-MAY-2013,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-09 ,9,Strata,678000,75333,6999,04-JUN-2013,Retail,Freehold,Sub Sale,21,59,596180,Central Region,Bukit Timah
BEAUTY WORLD PLAZA,140 Upper Bukit Timah Road  #02-05 ,26,Strata,700000,26923,2501,07-JUN-2013,Retail,999 Yrs From 07/06/1884,Resale,21,58,588176,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #02-42 ,13,Strata,530000,40769,3788,10-JUN-2013,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
KAP,9 King Albert Park  #02-13 ,32,Strata,2067000,64594,6001,11-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-53 ,63,Strata,3523000,55921,5195,12-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-54 ,63,Strata,3401000,53984,5015,12-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-59 ,37,Strata,2629000,71054,6601,17-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-58 ,39,Strata,2771000,71051,6601,17-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-61 ,32,Strata,2274000,71063,6602,18-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-62 ,32,Strata,2274000,71063,6602,18-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-18 ,70,Strata,4513000,64471,5990,19-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
MAPLE WOODS,989 Bukit Timah Road  #B1-04 ,55,Strata,1111888,20216,1878,19-JUN-2013,Retail,Freehold,Resale,21,58,589629,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-48 ,35,Strata,2336000,66743,6201,20-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
ENG KONG PARK,39/39A Eng Kong Terrace ,142,Land,3000000,21157,1965,20-JUN-2013,Shop House,Freehold,Resale,21,59,599012,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-17 ,69,Strata,4443000,64391,5982,21-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #02-10 ,47,Strata,2682000,57064,5301,21-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-46 ,30,Strata,2132000,71067,6602,21-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
BINJAI PARK,5 Binjai Park ,118,Strata,3400000,28814,2677,21-JUN-2013,Shop House,999 Yrs From 01/06/1875,Resale,21,58,589820,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-13 ,60,Strata,4024000,67067,6231,21-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-57 ,69,Strata,3600000,52174,4847,24-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-06 ,78,Strata,4988000,63949,5941,24-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #02-32 ,46,Strata,2724000,59217,5501,24-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #02-24 ,26,Strata,1736000,66769,6203,24-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #02-23 ,26,Strata,1736000,66769,6203,24-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #02-22 ,31,Strata,1936000,62452,5802,24-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-56 ,69,Strata,3600000,52174,4847,24-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #02-35 ,52,Strata,3135000,60288,5601,24-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-49 ,37,Strata,2430000,65676,6101,24-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-52 ,30,Strata,2164000,72133,6701,25-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #01-12 ,67,Strata,4373000,65269,6064,25-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #02-33 ,38,Strata,2455000,64605,6002,25-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
KAP,9 King Albert Park  #02-29/30 ,46,Strata,3418000,74304,6903,25-JUN-2013,Retail,Freehold,New Sale,21,59,598332,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #02-42 ,13,Strata,400000,30769,2859,03-MAY-2012,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #04-13 ,73,Strata,1530000,20959,1947,17-MAY-2012,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-36 ,11,Strata,582000,52909,4915,06-JUN-2012,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #05-23 ,20,Strata,480000,24000,2230,07-JUN-2012,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #01-K31 ,16,Strata,580000,36250,3368,14-JUN-2012,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #04-03 ,17,Strata,380000,22353,2077,21-JUN-2012,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-42 ,29,Strata,800000,27586,2563,28-JUN-2012,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
MAPLE WOODS,989 Bukit Timah Road  #B1-02 ,46,Strata,760000,16522,1535,18-JUL-2012,Retail,Freehold,Resale,21,58,589629,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #B1-30 ,17,Strata,428000,25176,2339,02-AUG-2012,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
PANDAN VALLEY,2 Pandan Valley  #01-212 ,170,Strata,2550000,15000,1394,03-AUG-2012,Retail,Freehold,Resale,21,59,597626,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #03-K16 ,9,Strata,260000,28889,2684,14-AUG-2012,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-14 ,8,Strata,488000,61000,5667,17-AUG-2012,Retail,Freehold,Sub Sale,21,59,596180,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #04-23 ,25,Strata,269000,10760,1000,23-AUG-2012,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-13 ,8,Strata,498800,62350,5792,24-AUG-2012,Retail,Freehold,Sub Sale,21,59,596180,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #B1-09 ,39,Strata,1014000,26000,2415,24-AUG-2012,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #02-67 ,23,Strata,642200,27922,2594,28-AUG-2012,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #02-24E ,56,Strata,1180000,21071,1958,28-AUG-2012,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #01-02 ,73,Strata,1400000,19178,1782,04-SEP-2012,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-12 ,11,Strata,660800,60073,5581,06-SEP-2012,Retail,Freehold,Sub Sale,21,59,596180,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #01-09/10 ,73,Strata,2500000,34247,3182,12-SEP-2012,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #03-35 ,14,Strata,397000,28357,2634,20-SEP-2012,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #03-03 ,48,Strata,1120000,23333,2168,26-SEP-2012,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #02-31 ,63,Strata,1800000,28571,2654,16-OCT-2012,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
MAYFAIR PARK,1 Jalan Bingka ,100,Strata,880000,8800,818,05-NOV-2012,Shop House,98 Yrs From 28/03/1952,Resale,21,58,588893,Central Region,Bukit Timah
BEAUTY WORLD PLAZA,140 Upper Bukit Timah Road  #03-10 ,27,Strata,770000,28519,2649,06-NOV-2012,Retail,999 Yrs From 07/06/1884,Resale,21,58,588176,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #B1-28 ,28,Strata,900000,32143,2986,07-NOV-2012,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #B1-06 ,16,Strata,450000,28125,2613,21-NOV-2012,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #01-11 ,48,Strata,1700000,35417,3290,30-NOV-2012,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-31 ,7,Strata,385000,55000,5110,04-DEC-2012,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #03-47 ,14,Strata,500000,35714,3318,05-DEC-2012,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
N.A.,9 Jalan Bingka ,102,Strata,870000,8529,792,06-DEC-2012,Shop House,99 Yrs From 28/03/1952,Resale,21,58,588905,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-41 ,7,Strata,370000,52857,4911,12-DEC-2012,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #03-10 ,20,Strata,585000,29250,2717,13-DEC-2012,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-12B/12C/14 ,59,Strata,1450000,24576,2283,14-DEC-2012,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #01-34 ,26,Strata,630000,24231,2251,21-DEC-2012,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #B1-38 ,16,Strata,398000,24875,2311,28-DEC-2012,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #B1-25 ,28,Strata,778000,27786,2581,23-JUN-2011,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #03-20 ,17,Strata,350000,20588,1913,30-JUN-2011,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #B1-37 ,23,Strata,680000,29565,2747,12-JUL-2011,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
MAYFAIR PARK,5/5A Jalan Bingka ,187,Strata,1000000,5348,497,22-JUL-2011,Shop House,99 Yrs From 28/03/1952,Resale,21,58,588900,Central Region,Bukit Timah
KILAT 19,19 Lorong Kilat  #01-03 ,149,Strata,2300000,15436,1434,05-AUG-2011,Retail,Freehold,Resale,21,59,598120,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #01-26 ,19,Strata,688000,36211,3364,10-AUG-2011,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #02-09A ,19,Strata,543000,28579,2655,24-AUG-2011,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-47 ,143,Strata,2288800,16006,1487,02-SEP-2011,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-12/14 ,232,Strata,2820000,12155,1129,29-SEP-2011,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road  #03-55 ,16,Strata,405000,25313,2352,10-OCT-2011,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
N.A.,17 Yuk Tong Avenue ,100,Strata,2400000,24000,2230,17-NOV-2011,Shop House,Freehold,Resale,21,59,596322,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-28 ,10,Strata,540000,54000,5017,23-NOV-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-33 ,8,Strata,430000,53750,4993,23-NOV-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-29 ,9,Strata,485000,53889,5006,23-NOV-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-13 ,8,Strata,370282,46285,4300,25-NOV-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-12 ,11,Strata,509137,46285,4300,25-NOV-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-25 ,9,Strata,485000,53889,5006,25-NOV-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-20 ,5,Strata,240000,48000,4459,28-NOV-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-16 ,9,Strata,485000,53889,5006,28-NOV-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #02-04 ,44,Strata,1200000,27273,2534,28-NOV-2011,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-24 ,9,Strata,446200,49578,4606,28-NOV-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-27 ,13,Strata,679000,52231,4852,30-NOV-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-19 ,12,Strata,645000,53750,4993,06-DEC-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-18 ,9,Strata,485000,53889,5006,06-DEC-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-26 ,9,Strata,485000,53889,5006,06-DEC-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-40 ,10,Strata,540000,54000,5017,15-DEC-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil  #01-43 ,11,Strata,588000,53455,4966,15-DEC-2011,Retail,Freehold,New Sale,21,59,596180,Central Region,Bukit Timah
