Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
FAR EAST PLAZA,14 Scotts Road  #05-11 ,15,Strata,638000,42533,3951,12-DEC-2017,Retail,Freehold,Resale,09,22,228213,Central Region,Orchard
LUCKY PLAZA,304 Orchard Road  #01-66 ,46,Strata,9350000,203261,18883,18-JAN-2018,Retail,Freehold,Resale,09,23,238863,Central Region,Orchard
FAR EAST PLAZA,14 Scotts Road  #03-134 ,22,Strata,1300000,59091,5490,07-FEB-2018,Retail,Freehold,Resale,09,22,228213,Central Region,Orchard
ORCHARD PLAZA,150 Orchard Road  #02-24 ,27,Strata,500000,18519,1720,12-FEB-2018,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
LUCKY PLAZA,304 Orchard Road  #02-27 ,41,Strata,3920000,95610,8882,12-FEB-2018,Retail,Freehold,Resale,09,23,238863,Central Region,Orchard
FAR EAST SHOPPING CENTRE,545 Orchard Road  #02-30 ,8,Strata,390000,48750,4529,14-FEB-2018,Retail,999 Yrs From 30/10/1871,Resale,09,23,238882,Central Region,Orchard
ORCHARD TOWERS,400 Orchard Road  #02-35 ,38,Strata,1900000,50000,4645,19-FEB-2018,Retail,Freehold,Resale,09,23,238875,Central Region,Orchard
EMERALD HILL CONSERVATION AREA,36 Emerald Hill Road ,123,Land,6300000,51178,4755,12-MAR-2018,Shop House,Freehold,Resale,09,22,229312,Central Region,Newton
LUCKY PLAZA,304 Orchard Road  #02-69 ,31,Strata,2000000,64516,5994,21-MAR-2018,Retail,Freehold,Resale,09,23,238863,Central Region,Orchard
N.A.,99B Killiney Road ,107,Land,3220000,30150,2801,22-MAR-2018,Shop House,Freehold,Resale,09,23,239541,Central Region,River Valley
LUCKY PLAZA,304 Orchard Road  #02-73 ,22,Strata,1500000,68182,6334,27-MAR-2018,Retail,Freehold,Resale,09,23,238863,Central Region,Orchard
FAR EAST PLAZA,14 Scotts Road  #03-122 ,28,Strata,1800000,64286,5972,02-APR-2018,Retail,Freehold,Resale,09,22,228213,Central Region,Orchard
PEACE CENTRE/MANSIONS,1 Sophia Road  #01-16 ,35,Strata,750000,21429,1991,12-APR-2018,Retail,99 Yrs From 02/06/1970,Resale,09,22,228149,Central Region,Rochor
ORCHARD PLAZA,150 Orchard Road  #04-20 ,45,Strata,890000,19778,1837,19-APR-2018,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
ORCHARD TOWERS,400 Orchard Road  #B1-15 ,71,Strata,3510000,49437,4593,23-APR-2018,Retail,Freehold,Resale,09,23,238875,Central Region,Orchard
ORCHARD TOWERS,400 Orchard Road  #02-32 ,51,Strata,2000000,39216,3643,23-APR-2018,Retail,Freehold,Resale,09,23,238875,Central Region,Orchard
LUCKY PLAZA,304 Orchard Road  #03-60 ,25,Strata,1800000,72000,6689,27-APR-2018,Retail,Freehold,Resale,09,23,238863,Central Region,Orchard
N.A.,7 Mohamed Sultan Road ,221,Land,12800000,57840,5373,30-APR-2018,Shop House,999 Yrs From 01/07/1841,Resale,09,23,238957,Central Region,River Valley
LUCKY PLAZA,304 Orchard Road  #03-11 ,36,Strata,2025000,56250,5226,09-MAY-2018,Retail,Freehold,Resale,09,23,238863,Central Region,Orchard
ORCHARD TOWERS,400 Orchard Road  #02-34 ,50,Strata,1750000,35000,3252,10-MAY-2018,Retail,Freehold,Resale,09,23,238875,Central Region,Orchard
ORCHARD TOWERS,400 Orchard Road  #03-08 ,109,Strata,5300000,48624,4517,10-MAY-2018,Retail,Freehold,Resale,09,23,238875,Central Region,Orchard
LUCKY PLAZA,304 Orchard Road  #04-18 ,37,Strata,1830000,49459,4595,14-MAY-2018,Retail,Freehold,Resale,09,23,238863,Central Region,Orchard
LUCKY PLAZA,304 Orchard Road  #03-48 ,36,Strata,2345000,65139,6052,22-MAY-2018,Retail,Freehold,Resale,09,23,238863,Central Region,Orchard
FAR EAST SHOPPING CENTRE,545 Orchard Road  #02-22 ,15,Strata,750000,50000,4645,22-MAY-2018,Retail,999 Yrs From 30/10/1871,Resale,09,23,238882,Central Region,Orchard
ORCHARD TOWERS,400 Orchard Road  #04-18 ,24,Strata,1050000,43750,4064,23-MAY-2018,Retail,Freehold,Resale,09,23,238875,Central Region,Orchard
MIDPOINT ORCHARD,220 Orchard Road  #02-01 ,35,Strata,1500000,42857,3982,01-JUN-2018,Retail,Freehold,Resale,09,23,238852,Central Region,Orchard
ORCHARD PLAZA,150 Orchard Road  #02-16 ,53,Strata,1050000,19811,1841,13-JUN-2018,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
LUCKY PLAZA,304 Orchard Road  #01-03 ,34,Strata,5100000,150000,13935,03-JUL-2018,Retail,Freehold,Resale,09,23,238863,Central Region,Orchard
ORCHARD TOWERS,400 Orchard Road  #03-45 ,280,Strata,13200000,47143,4380,04-JUL-2018,Retail,Freehold,Resale,09,23,238875,Central Region,Orchard
FAR EAST PLAZA,14 Scotts Road  #05-98 ,28,Strata,1900000,67857,6304,09-JUL-2018,Retail,Freehold,Resale,09,22,228213,Central Region,Orchard
FAR EAST PLAZA,14 Scotts Road  #05-42 ,80,Strata,3350000,41875,3890,10-JUL-2018,Retail,Freehold,Resale,09,22,228213,Central Region,Orchard
