Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
CITY GATE,371 Beach Road  #02-24 ,38,Strata,1541000,40553,3767,08-SEP-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
SULTAN PLAZA,100 Jalan Sultan  #03-54 ,57,Strata,830000,14561,1353,15-SEP-2017,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #04-11 ,53,Strata,1500000,28302,2629,15-SEP-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #B1-64 ,17,Strata,400000,23529,2186,18-SEP-2017,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road  #B1-23 ,27,Strata,400000,14815,1376,20-SEP-2017,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
CITY GATE,371 Beach Road  #02-25 ,40,Strata,1688000,42200,3920,20-SEP-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
BURLINGTON SQUARE,175 Bencoolen Street  #01-55 ,38,Strata,1150000,30263,2812,26-SEP-2017,Retail,99 Yrs From 10/06/1996,Resale,07,18,189649,Central Region,Rochor
CITY GATE,371 Beach Road  #B1-47 ,33,Strata,1406000,42606,3958,03-OCT-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
KAMPONG GLAM CONSERVATION AREA,18 Bali Lane ,67,Land,5000000,74738,6943,05-OCT-2017,Shop House,999 Yrs From 06/06/1833,Resale,07,18,189854,Central Region,Rochor
BUGIS CUBE,470 North Bridge Road  #04-19 ,33,Strata,1000000,30303,2815,20-OCT-2017,Retail,999 Yrs From 25/01/1827,Resale,07,18,188735,Central Region,Downtown Core
TEXTILE CENTRE,200 Jalan Sultan  #03-11 ,93,Strata,950950,10225,950,26-OCT-2017,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
PARKLANE SHOPPING MALL,35 Selegie Road  #01-15 ,32,Strata,805000,25156,2337,30-OCT-2017,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #01-29 ,39,Strata,1418000,36359,3378,30-OCT-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #02-14 ,38,Strata,908000,23895,2220,31-OCT-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #02-80E ,18,Strata,265000,14722,1368,03-NOV-2017,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
CITY GATE,371 Beach Road  #01-31 ,47,Strata,1972200,41962,3898,06-NOV-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-64 ,46,Strata,1827800,39735,3691,09-NOV-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
SUNSHINE PLAZA,91 Bencoolen Street  #01-33 ,24,Strata,1086434,45268,4206,10-NOV-2017,Retail,99 Yrs From 19/03/1997,Resale,07,18,189652,Central Region,Rochor
N.A.,62 Bussorah Street ,120,Land,5400000,44888,4170,29-NOV-2017,Shop House,99 Yrs From 14/11/2003,Resale,07,19,199478,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #02-64 ,31,Strata,435000,14032,1304,01-DEC-2017,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #05-13A ,74,Strata,1340000,18108,1682,03-DEC-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
TEXTILE CENTRE,200 Jalan Sultan  #03-32 ,88,Strata,900000,10227,950,11-DEC-2017,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #B1-07 ,32,Strata,868000,27125,2520,13-DEC-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
CITY GATE,371 Beach Road  #B1-43 ,49,Strata,1995000,40714,3782,13-DEC-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
N.A.,167/169-169D Selegie Road ,275,Land,20000008,72833,6766,14-DEC-2017,Shop House,Freehold,Resale,07,18,188321,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #03-50 ,18,Strata,300000,16667,1548,19-DEC-2017,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
PARKLANE SHOPPING MALL,35 Selegie Road  #03-18 ,37,Strata,600000,16216,1507,21-DEC-2017,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
TEXTILE CENTRE,200 Jalan Sultan  #02-15 ,92,Strata,1060000,11522,1070,22-DEC-2017,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road  #02-62 ,18,Strata,230000,12778,1187,27-DEC-2017,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road  #02-08 ,24,Strata,293000,12208,1134,10-JAN-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
GOLDEN MILE COMPLEX,5001 Beach Road  #01-65A ,18,Strata,360000,20000,1858,10-JAN-2018,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
N.A.,95 Beach Road ,324,Land,32188800,99348,9230,17-JAN-2018,Shop House,999 Yrs From 25/01/1827,Resale,07,18,189699,Central Region,Downtown Core
CITY GATE,371 Beach Road  #B1-69 ,43,Strata,1838000,42744,3971,30-JAN-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-39 ,37,Strata,1193000,32243,2995,31-JAN-2018,Retail,99 Yrs From 15/04/2014,Sub Sale,07,19,199597,Central Region,Kallang
KAMPONG GLAM CONSERVATION AREA,40 Arab Street ,85,Land,3100000,36428,3384,31-JAN-2018,Shop House,99 Yrs From 11/09/1995,Resale,07,19,199739,Central Region,Rochor
PARKLANE SHOPPING MALL,35 Selegie Road  #04-02 ,42,Strata,600000,14286,1327,01-FEB-2018,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
CITY GATE,371 Beach Road  #01-32 ,46,Strata,2084000,45304,4209,13-FEB-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #05-52 ,33,Strata,1880000,56970,5293,13-FEB-2018,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #02-94A ,6,Strata,170000,28333,2632,19-FEB-2018,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-60 ,39,Strata,1448250,37135,3450,21-FEB-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-48 ,55,Strata,2069100,37620,3495,26-FEB-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
THE PLAZA,7500A Beach Road  #04-323 ,101,Strata,1100000,10891,1012,26-FEB-2018,Retail,99 Yrs From 03/09/1968,Resale,07,19,199591,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-68 ,42,Strata,2100000,50000,4645,04-JAN-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
PARKLANE SHOPPING MALL,35 Selegie Road  #02-19 ,24,Strata,450000,18750,1742,13-JAN-2016,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
CITY GATE,371 Beach Road  #B1-36 ,41,Strata,1367000,33341,3097,15-JAN-2016,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
SULTAN PLAZA,100 Jalan Sultan  #03-10 ,38,Strata,475000,12500,1161,20-JAN-2016,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
